"Time stamp","System power generated | (kW)","Wind speed | (m/s)","Internal wake loss percent | (%)","Air temperature | ('C)"
"Jan 5, 05:00 am",164114,9.3,1.53873,-1.55
"Jan 5, 06:00 am",261112,11.55,1.32431,-2.03
"Jan 5, 07:00 am",294461,12.54,0.915345,-2.5
"Jan 5, 08:00 am",319943,13.78,0.294066,-2.88
"Jan 5, 09:00 am",307577,13.05,0.416193,-3.1
"Jan 5, 10:00 am",327696,14.76,0.121726,-3.25
"Jan 5, 11:00 am",304737,12.95,0.685742,-3.38
"Jan 5, 12:00 pm",326025,14.65,0.467515,-5.17
"Jan 5, 01:00 pm",332020,15.73,0.396898,-6.4
"Jan 5, 02:00 pm",333779,16.09,0,-7.52
"Jan 5, 03:00 pm",333779,18.08,0,-10.03
"Jan 5, 04:00 pm",333779,17.94,0,-11.53
"Jan 5, 05:00 pm",333779,19.62,0,-13.94
"Jan 5, 06:00 pm",333779,20.34,0,-15.91
"Jan 5, 07:00 pm",333779,19.07,0,-16.92
"Jan 5, 08:00 pm",333779,19.03,0,-18.75
"Jan 5, 09:00 pm",333779,19.51,0,-20.13
"Jan 5, 10:00 pm",333779,18.52,0,-20.38
"Jan 5, 11:00 pm",333779,17.38,0,-20.68
"Jan 6, 12:00 am",333779,18.95,0,-21.17
"Jan 6, 01:00 am",333779,16.67,0,-21.34
"Jan 6, 02:00 am",333779,17.96,0,-22.57
"Jan 6, 03:00 am",333779,17.22,0,-25.53
"Jan 6, 04:00 am",333779,15.49,0,-26.53
"Jan 6, 05:00 am",313036,12.88,0.431997,-26.89
"Jan 6, 06:00 am",309943,12.71,0.428707,-28.03
"Jan 6, 07:00 am",328246,14.31,0.132162,-28.97
"Jan 6, 08:00 am",325470,13.9,0.152817,-29.98
"Jan 6, 09:00 am",302349,12.34,0.594388,-29.59
"Jan 6, 10:00 am",292484,12.02,0.848213,-28.71
"Jan 6, 11:00 am",263887,11.2,1.32512,-28
"Jan 6, 12:00 pm",293556,12.1,1.15434,-27.22
"Jan 6, 01:00 pm",307655,12.68,0.776027,-26.02
"Jan 6, 02:00 pm",321824,13.55,0.330821,-24.91
"Jan 6, 03:00 pm",323696,13.8,0.2572,-24.13
