"Time stamp","System power generated | (kW)","Wind speed | (m/s)","Internal wake loss percent | (%)","Air temperature | ('C)"
"Feb 20, 12:00 pm",263019,11.97,2.89414,11.49
"Feb 20, 01:00 pm",304739,13.34,1.12763,12.92
"Feb 20, 02:00 pm",309220,13.64,1.44797,13.83
"Feb 20, 03:00 pm",333779,18.09,0,15.88
"Feb 20, 04:00 pm",333779,18.01,0,16.32
"Feb 20, 05:00 pm",323195,14.49,0.133068,14.64
"Feb 20, 06:00 pm",333779,17.2,0,13.2
"Feb 20, 07:00 pm",333779,22.14,0,7.73
"Feb 20, 08:00 pm",333779,21.09,0,4.8
"Feb 20, 09:00 pm",333779,20.03,0,3.02
"Feb 20, 10:00 pm",333779,19.61,0,2.46
"Feb 20, 11:00 pm",333779,17.76,0,2.72
"Feb 21, 12:00 am",333779,17.39,0,3
"Feb 21, 01:00 am",323553,14.32,0.142113,2.99
"Feb 21, 02:00 am",327303,14.87,0.131002,2.68
"Feb 21, 03:00 am",333779,16.74,0,1.94
"Feb 21, 04:00 am",333779,18.77,0,-0.17
"Feb 21, 05:00 am",333779,17.15,0,-1.7
"Feb 21, 06:00 am",295756,12.69,1.58435,-2.08
"Feb 21, 07:00 am",285466,12.29,0.879153,-1.59
"Feb 21, 08:00 am",333719,16.01,0.0178605,-1.7
"Feb 21, 09:00 am",331121,15.5,0.126745,-1.24
"Feb 21, 10:00 am",331337,15.55,0.0932833,-0.39
"Feb 21, 11:00 am",333779,16.49,0,0.21
"Feb 21, 12:00 pm",328988,15.12,0.260135,0.95
"Feb 21, 01:00 pm",324216,14.4,0.216281,2.02
"Feb 21, 02:00 pm",318797,13.85,0.461417,2.6
"Feb 21, 03:00 pm",294120,12.64,0.936476,3.16
"Feb 21, 04:00 pm",279452,12.14,0.791475,3.64
"Feb 21, 05:00 pm",230498,10.87,0.911483,3.79
"Feb 21, 06:00 pm",220184,10.64,1.40643,4.1
"Feb 21, 07:00 pm",183219,9.78,1.66019,4.41
"Feb 21, 08:00 pm",123576,8.45,1.84875,5.1
"Feb 21, 09:00 pm",18600.7,5.1,2.62835,4.65
"Feb 21, 10:00 pm",232812,10.92,0.897213,2.77
"Feb 21, 11:00 pm",20866,5.25,2.74474,2.03
"Feb 22, 12:00 am",51386.3,6.56,4.95995,2.56
"Feb 22, 01:00 am",102348,7.91,2.87603,2.55
"Feb 22, 02:00 am",31317,5.82,2.99162,2.34
"Feb 22, 03:00 am",94281.4,7.67,2.68457,2.29
"Feb 22, 04:00 am",99853.9,7.82,2.8047,2.21
"Feb 22, 05:00 am",47510.5,6.42,4.83389,1.86
"Feb 22, 06:00 am",14080.1,4.69,3.05134,1.23
"Feb 22, 07:00 am",11163,4.37,1.7459,1.05
"Feb 22, 08:00 am",5015.27,3.88,14.8296,1.11
"Feb 22, 09:00 am",0,3.55,0,1.94
"Feb 22, 10:00 am",9922.15,4.07,0.848014,3.17
"Feb 22, 11:00 am",10889.5,4.37,3.27002,4.14
"Feb 22, 12:00 pm",10309.1,4.24,0.633703,4.79
"Feb 22, 01:00 pm",15724.8,4.84,1.76199,5.13
"Feb 22, 02:00 pm",25066.7,5.49,2.37375,5.02
"Feb 22, 03:00 pm",10746.7,4.32,1.37382,4.71
"Feb 22, 04:00 pm",10151.7,4.17,0.709994,4.22
"Feb 22, 05:00 pm",17332.4,4.97,1.66172,3.41
"Feb 22, 06:00 pm",17283.3,4.96,1.66538,2.6
"Feb 22, 07:00 pm",23024.7,5.35,2.17383,1.92
"Feb 22, 08:00 pm",43496.4,6.23,2.62575,0.85
"Feb 22, 09:00 pm",51239.2,6.48,2.45015,-0.05
"Feb 22, 10:00 pm",35334.8,5.92,2.76112,-0.77
"Feb 22, 11:00 pm",24720.4,5.42,2.08575,-1.31
"Feb 23, 12:00 am",17602.3,4.96,1.71634,-1.57
"Feb 23, 01:00 am",26427.7,5.53,2.72856,-1.79
"Feb 23, 02:00 am",38007.3,6.01,3.19683,-2.17
"Feb 23, 03:00 am",26273.1,5.5,1.92271,-2.55
"Feb 23, 04:00 am",18956.7,5.06,2.38579,-2.61
"Feb 23, 05:00 am",32189.3,5.83,6.07367,-2.97
"Feb 23, 06:00 am",61923.7,6.76,2.40236,-3.38
"Feb 23, 07:00 am",48132.4,6.34,2.39746,-3.76
"Feb 23, 08:00 am",42868.1,6.16,2.35545,-3.62
"Feb 23, 09:00 am",78024.3,7.19,2.2129,-3.51
"Feb 23, 10:00 am",64737.6,6.84,2.24937,-3.09
"Feb 23, 11:00 am",62834,6.79,2.45006,-2.75
"Feb 23, 12:00 pm",43030.7,6.18,2.59552,-2.14
"Feb 23, 01:00 pm",50448.1,6.43,2.4766,-2.14
"Feb 23, 02:00 pm",46882.7,6.33,3.48591,-1.6
"Feb 23, 03:00 pm",39656.9,6.07,3.51132,-1.98
"Feb 23, 04:00 pm",87366.9,7.47,3.5615,-2.48
"Feb 23, 05:00 pm",55933.1,6.6,3.3888,-2.83
"Feb 23, 06:00 pm",86982.2,7.44,2.96805,-3.43
"Feb 23, 07:00 pm",69267.7,6.97,3.02036,-3.77
"Feb 23, 08:00 pm",139133,8.67,1.78112,-4
"Feb 23, 09:00 pm",123562,8.31,1.69685,-4.24
"Feb 23, 10:00 pm",149441,8.91,1.74602,-4.48
"Feb 23, 11:00 pm",127070,8.4,1.89083,-4.55
"Feb 24, 12:00 am",139563,8.68,1.99622,-4.79
"Feb 24, 01:00 am",93434.9,7.56,2.81695,-4.82
"Feb 24, 02:00 am",143107,8.76,1.95244,-5.2
"Feb 24, 03:00 am",167331,9.32,1.99041,-5.42
"Feb 24, 04:00 am",90020.8,7.49,3.25189,-5.53
"Feb 24, 05:00 am",67778.3,6.92,3.3685,-5.64
"Feb 24, 06:00 am",83595.5,7.32,2.27359,-5.75
"Feb 24, 07:00 am",59120.1,6.65,2.468,-5.78
"Feb 24, 08:00 am",64530.4,6.81,2.53417,-5.86
"Feb 24, 09:00 am",43809.5,6.17,2.37071,-5.65
"Feb 24, 10:00 am",62875.9,6.76,2.19274,-5.13
"Feb 24, 11:00 am",59243.1,6.66,2.28477,-4.56
"Feb 24, 12:00 pm",64647.1,6.82,2.13092,-4.08
"Feb 24, 01:00 pm",65846.8,6.86,2.15247,-3.64
"Feb 24, 02:00 pm",58861.3,6.66,2.30596,-3.41
"Feb 24, 03:00 pm",56745.3,6.6,2.43305,-3.52
"Feb 24, 04:00 pm",68545.7,6.95,2.86626,-3.71
"Feb 24, 05:00 pm",38485.1,6.01,3.57247,-3.97
"Feb 24, 06:00 pm",15985.5,4.81,2.79103,-4.19
"Feb 24, 07:00 pm",15456.5,4.75,2.00938,-4.52
"Feb 24, 08:00 pm",16682,4.86,2.24025,-4.74
"Feb 24, 09:00 pm",16723,4.87,2.66159,-4.96
"Feb 24, 10:00 pm",15541.5,4.77,3.08913,-5.17
"Feb 24, 11:00 pm",10429.4,4.21,1.30202,-5.23
"Feb 25, 12:00 am",11172.5,4.33,2.13373,-5.59
"Feb 25, 01:00 am",7194.01,3.89,9.90936,-5.69
"Feb 25, 02:00 am",11074.4,4.3,1.33965,-6.07
"Feb 25, 03:00 am",10646,4.24,1.49958,-6.2
"Feb 25, 04:00 am",20400.6,5.13,1.97208,-6.45
"Feb 25, 05:00 am",26317.1,5.47,2.11172,-6.74
"Feb 25, 06:00 am",20514,5.14,2.21664,-6.96
"Feb 25, 07:00 am",14465.2,4.66,2.81193,-6.99
"Feb 25, 08:00 am",20260,5.13,2.87329,-7.09
"Feb 25, 09:00 am",23619.6,5.33,3.42911,-6.89
"Feb 25, 10:00 am",26601.8,5.5,2.62643,-6.47
"Feb 25, 11:00 am",51381.6,6.44,3.25164,-5.88
"Feb 25, 12:00 pm",68811.9,6.94,2.42683,-5.12
"Feb 25, 01:00 pm",139559,8.67,1.66001,-5.22
"Feb 25, 02:00 pm",106528,7.9,1.88556,-5.21
"Feb 25, 03:00 pm",167537,9.31,1.3824,-5.21
"Feb 25, 04:00 pm",156298,9.05,1.70522,-5.87
"Feb 25, 05:00 pm",183763,9.64,1.87334,-6.44
"Feb 25, 06:00 pm",134339,8.56,2.60994,-7.02
"Feb 25, 07:00 pm",233197,10.77,1.29408,-8.32
"Feb 25, 08:00 pm",222139,10.5,1.89969,-8.31
"Feb 25, 09:00 pm",169722,9.34,2.13744,-8.92
"Feb 25, 10:00 pm",192770,9.8,1.46476,-9.74
"Feb 25, 11:00 pm",286430,12.09,0.832561,-11.69
"Feb 26, 12:00 am",272551,11.63,0.835827,-13.27
"Feb 26, 01:00 am",271965,11.6,0.862233,-14.19
"Feb 26, 02:00 am",139174,8.56,1.81475,-14.36
"Feb 26, 03:00 am",198094,9.84,1.45732,-15.17
"Feb 26, 04:00 am",144945,8.68,1.65618,-15.47
"Feb 26, 05:00 am",159957,9.02,1.99271,-16
"Feb 26, 06:00 am",116311,8.02,2.37642,-16.44
"Feb 26, 07:00 am",52911.5,6.4,3.50686,-16.57
"Feb 26, 08:00 am",42496.1,6.06,3.17159,-16.24
"Feb 26, 09:00 am",29127.8,5.58,1.7816,-15.47
"Feb 26, 10:00 am",14580.1,4.63,2.71966,-14.12
"Feb 26, 11:00 am",22207.8,5.24,5.16447,-12.94
"Feb 26, 12:00 pm",81488.9,7.24,3.12643,-11.69
"Feb 26, 01:00 pm",103601,7.79,2.51081,-10.98
"Feb 26, 02:00 pm",157060,9.05,2.1126,-9.96
"Feb 26, 03:00 pm",218968,10.41,1.35377,-9.94
"Feb 26, 04:00 pm",170269,9.35,1.46731,-9.33
"Feb 26, 05:00 pm",232723,10.75,0.989108,-9.44
"Feb 26, 06:00 pm",175493,9.46,1.74771,-9.42
"Feb 26, 07:00 pm",285879,12.13,0.624594,-9.21
"Feb 26, 08:00 pm",298042,12.55,0.773068,-8.6
"Feb 26, 09:00 pm",317975,13.57,0.298653,-7.63
"Feb 26, 10:00 pm",331504,15.44,0.0650761,-6.68
"Feb 26, 11:00 pm",333779,16.26,0,-5.74
"Feb 27, 12:00 am",325908,14.56,0.273926,-4.91
"Feb 27, 01:00 am",301713,12.74,0.661156,-7.62
"Feb 27, 02:00 am",333779,16.18,0,-10.64
"Feb 27, 03:00 am",305407,12.8,0.524214,-13.14
"Feb 27, 04:00 am",286903,12.09,0.690868,-14.57
"Feb 27, 05:00 am",266938,11.49,1.00741,-15.04
"Feb 27, 06:00 am",284846,12,0.912484,-16.39
"Feb 27, 07:00 am",226415,10.48,1.34793,-16.75
"Feb 27, 08:00 am",137667,8.52,1.82447,-16.53
"Feb 27, 09:00 am",115226,8.01,2.34381,-16.12
"Feb 27, 10:00 am",96065.2,7.52,2.54683,-15.54
"Feb 27, 11:00 am",83835.6,7.25,2.14305,-15.06
"Feb 27, 12:00 pm",58126.8,6.56,2.47216,-14.54
"Feb 27, 01:00 pm",36814.9,5.87,2.81483,-14.11
"Feb 27, 02:00 pm",24741.5,5.34,2.4596,-13.59
"Feb 27, 03:00 pm",14069.4,4.6,3.29652,-13.21
"Feb 27, 04:00 pm",10183.2,4.08,0.460578,-12.9
"Feb 27, 05:00 pm",8572.18,3.94,13.5014,-13.31
"Feb 27, 06:00 pm",0,3.44,0,-13.28
"Feb 27, 07:00 pm",0,2.97,0,-12.99
"Feb 27, 08:00 pm",0,2.78,0,-12.62
"Feb 27, 09:00 pm",0,2.94,0,-12.29
"Feb 27, 10:00 pm",3397.47,3.76,12.1866,-12.02
"Feb 27, 11:00 pm",12675.8,4.5,4.73866,-11.92
"Feb 28, 12:00 am",16085,4.78,2.87857,-11.7
"Feb 28, 01:00 am",21660,5.19,2.85221,-11.38
"Feb 28, 02:00 am",23724.9,5.3,2.33034,-10.93
"Feb 28, 03:00 am",24631.2,5.35,2.1145,-10.49
"Feb 28, 04:00 am",29761.7,5.66,2.7847,-9.95
"Feb 28, 05:00 am",34902.1,5.85,3.68626,-9.31
"Feb 28, 06:00 am",44142,6.17,2.36845,-8.63
"Feb 28, 07:00 am",74580.4,7.08,2.96022,-8.07
"Feb 28, 08:00 am",77296.3,7.23,6.01479,-7.19
"Feb 28, 09:00 am",76742,7.23,6.20536,-6.04
"Feb 28, 10:00 am",60407,6.79,6.57106,-4.65
"Feb 28, 11:00 am",50461.5,6.45,3.65075,-3.22
"Feb 28, 12:00 pm",50341.9,6.44,2.53518,-1.97
"Feb 28, 01:00 pm",46297,6.31,2.40367,-0.84
"Feb 28, 02:00 pm",45505.4,6.29,2.3903,-0.01
"Feb 28, 03:00 pm",36226.1,5.97,3.32923,0.43
"Feb 28, 04:00 pm",39839.3,6.1,2.9926,0.62
"Feb 28, 05:00 pm",39513.2,6.09,3.13432,0.46
"Feb 28, 06:00 pm",38034.5,6.03,2.80643,0.38
"Feb 28, 07:00 pm",33370.5,5.87,3.26114,0.25
"Feb 28, 08:00 pm",42135.4,6.18,2.6454,0.23
"Feb 28, 09:00 pm",36347.2,5.97,3.00618,0.21
"Feb 28, 10:00 pm",19958.6,5.16,2.41129,0.19
"Feb 28, 11:00 pm",37539.4,6.01,2.69668,0.28
"Mar 1, 12:00 am",53121.9,6.56,3.52353,0.24
"Mar 1, 01:00 am",44279.4,6.25,2.44519,0.07
"Mar 1, 02:00 am",34466.2,5.9,3.22254,-0.42
"Mar 1, 03:00 am",43936,6.27,5.04785,-0.91
"Mar 1, 04:00 am",55663.7,6.61,2.8727,-1.01
"Mar 1, 05:00 am",20401,5.18,2.51146,-1.34
"Mar 1, 06:00 am",16371.3,4.85,1.76227,-2.05
"Mar 1, 07:00 am",40114.8,6.07,2.5862,-3.16
"Mar 1, 08:00 am",49324.8,6.42,4.5554,-3.74
"Mar 1, 09:00 am",37899.8,5.99,3.30611,-3.97
"Mar 1, 10:00 am",27896,5.61,2.97092,-3.64
"Mar 1, 11:00 am",27053.5,5.6,5.36734,-3.66
"Mar 1, 12:00 pm",27307,5.6,4.48059,-3.61
"Mar 1, 01:00 pm",25536.7,5.51,6.02438,-3.81
"Mar 1, 02:00 pm",20438.2,5.21,6.39717,-3.99
"Mar 1, 03:00 pm",28345.8,5.68,5.79394,-3.87
"Mar 1, 04:00 pm",24065.2,5.37,3.09813,-3.97
"Mar 1, 05:00 pm",15322.2,4.75,2.77402,-4.45
"Mar 1, 06:00 pm",119605,8.18,1.86131,-7.42
"Mar 1, 07:00 pm",121754,8.22,1.78242,-8.51
"Mar 1, 08:00 pm",105912,7.83,1.54334,-9.01
"Mar 1, 09:00 pm",113307,8.01,2.08118,-9.43
"Mar 1, 10:00 pm",154687,8.96,1.71692,-9.87
"Mar 1, 11:00 pm",153618,8.93,1.72816,-10.37
"Mar 2, 12:00 am",89752.6,7.43,2.84983,-10.09
"Mar 2, 01:00 am",116981,8.1,2.65755,-10.81
"Mar 2, 02:00 am",97116,7.61,3.971,-11.32
"Mar 2, 03:00 am",88941,7.45,5.47806,-11.62
"Mar 2, 04:00 am",148675,8.89,4.38291,-12.26
"Mar 2, 05:00 am",134104,8.55,4.69609,-12.47
"Mar 2, 06:00 am",136325,8.6,4.63781,-12.69
"Mar 2, 07:00 am",108655,7.95,5.36996,-12.94
"Mar 2, 08:00 am",64113.6,6.81,6.32032,-12.66
"Mar 2, 09:00 am",62959.3,6.74,4.56336,-12.57
"Mar 2, 10:00 am",58769.9,6.62,4.40492,-11.82
"Mar 2, 11:00 am",52436.1,6.47,6.11555,-10.67
"Mar 2, 12:00 pm",55045.5,6.57,6.88552,-9.83
"Mar 2, 01:00 pm",55192.3,6.58,6.9603,-9.41
"Mar 2, 02:00 pm",69863.5,7,6.48249,-9.22
"Mar 2, 03:00 pm",72084.8,7.05,6.10934,-9.39
"Mar 2, 04:00 pm",71599.2,7.04,6.55804,-9.98
"Mar 2, 05:00 pm",63477.1,6.81,6.38294,-10.56
"Mar 2, 06:00 pm",129268,8.45,4.75782,-11.31
"Mar 2, 07:00 pm",171995,9.37,3.53656,-12.36
"Mar 2, 08:00 pm",133121,8.51,4.77122,-13.51
"Mar 2, 09:00 pm",178732,9.48,3.9387,-15.19
"Mar 2, 10:00 pm",160714,9.07,3.23313,-16.16
"Mar 2, 11:00 pm",160371,9.05,3.11546,-16.78
"Mar 3, 12:00 am",114324,7.99,3.76344,-17.12
"Mar 3, 01:00 am",112559,7.96,4.38283,-17.6
"Mar 3, 02:00 am",124447,8.22,3.14154,-17.96
"Mar 3, 03:00 am",107360,7.82,3.80443,-18.04
"Mar 3, 04:00 am",47308.4,6.21,4.06628,-17.95
"Mar 3, 05:00 am",30960.9,5.64,4.23717,-17.8
"Mar 3, 06:00 am",21126.8,5.1,2.69073,-17.6
"Mar 3, 07:00 am",11637.1,4.31,1.31724,-17.02
"Mar 3, 08:00 am",14469.9,4.59,2.1544,-15.44
"Mar 3, 09:00 am",26923.2,5.45,2.40734,-13.75
"Mar 3, 10:00 am",18492.8,4.94,2.145,-12.75
"Mar 3, 11:00 am",12851.7,4.47,2.20329,-11.95
"Mar 3, 12:00 pm",9877.11,3.95,0.643353,-11.11
"Mar 3, 01:00 pm",0,3.53,0,-10.38
"Mar 3, 02:00 pm",0,3.3,0,-9.92
"Mar 3, 03:00 pm",0,2.74,0,-9.58
"Mar 3, 04:00 pm",0,2.4,0,-9.51
"Mar 3, 05:00 pm",0,2.65,0,-9.69
"Mar 3, 06:00 pm",0,2.52,0,-9.8
"Mar 3, 07:00 pm",0,2.92,0,-9.91
"Mar 3, 08:00 pm",0,3.02,0,-10.1
"Mar 3, 09:00 pm",0,3.21,0,-10.33
"Mar 3, 10:00 pm",3444.18,3.76,12.8433,-10.52
"Mar 3, 11:00 pm",0,3.32,0,-10.5
"Mar 4, 12:00 am",0,3.62,0,-10.44
"Mar 4, 01:00 am",10289.7,4.14,0.704262,-10.65
"Mar 4, 02:00 am",0,3.32,0,-10.74
"Mar 4, 03:00 am",0,3.38,0,-10.71
"Mar 4, 04:00 am",0,3.6,0,-10.68
"Mar 4, 05:00 am",9024.27,3.91,8.18066,-10.67
"Mar 4, 06:00 am",10114.4,4.07,0.810704,-10.59
"Mar 4, 07:00 am",11609,4.4,4.11533,-10.27
"Mar 4, 08:00 am",10154.2,4.13,1.61626,-9.5
"Mar 4, 09:00 am",10326.4,4.19,2.15651,-8.27
"Mar 4, 10:00 am",10140.7,4.09,0.536398,-6.99
"Mar 4, 11:00 am",11195.4,4.32,1.43551,-5.85
"Mar 4, 12:00 pm",1811.66,3.75,17.7984,-4.64
"Mar 4, 01:00 pm",10557.1,4.25,2.08356,-3.67
"Mar 4, 02:00 pm",0,3.7,0,-3.08
"Mar 4, 03:00 pm",7448.31,3.92,13.2636,-2.84
"Mar 4, 04:00 pm",0,3.19,0,-2.62
"Mar 4, 05:00 pm",0,2.56,0,-2.76
"Mar 4, 06:00 pm",0,1.93,0,-2.81
"Mar 4, 07:00 pm",0,1.23,0,-2.93
"Mar 4, 08:00 pm",0,1.15,0,-3.11
"Mar 4, 09:00 pm",0,0.37,0,-3.58
"Mar 4, 10:00 pm",0,0.14,0,-3.54
"Mar 4, 11:00 pm",0,0.98,0,-3.92
"Mar 5, 12:00 am",0,2.88,0,-3.57
"Mar 5, 01:00 am",11250.8,4.37,3.27848,-4.09
"Mar 5, 02:00 am",12895.5,4.54,3.2433,-4.45
"Mar 5, 03:00 am",45861.9,6.25,2.6096,-5.07
"Mar 5, 04:00 am",106197,7.87,1.53387,-5.83
"Mar 5, 05:00 am",87716.9,7.42,2.55318,-6.07
"Mar 5, 06:00 am",114791,8.07,1.95784,-6.38
"Mar 5, 07:00 am",153039,8.95,1.59486,-6.81
"Mar 5, 08:00 am",144628,8.76,1.49442,-6.36
"Mar 5, 09:00 am",124269,8.3,1.56097,-5.73
"Mar 5, 10:00 am",97368.7,7.62,2.29201,-5.17
"Mar 5, 11:00 am",77410.3,7.15,2.16345,-4.69
"Mar 5, 12:00 pm",89887.4,7.48,2.70153,-4.25
"Mar 5, 01:00 pm",71564.5,7.01,2.41591,-3.92
"Mar 5, 02:00 pm",71076.3,7,2.40236,-3.53
"Mar 5, 03:00 pm",108651,7.96,2.2383,-3.71
"Mar 5, 04:00 pm",114254,8.08,2.0912,-4.05
"Mar 5, 05:00 pm",89127.4,7.46,2.43498,-4.22
"Mar 5, 06:00 pm",114683,8.08,1.88557,-4.35
"Mar 5, 07:00 pm",149653,8.9,1.70796,-4.55
"Mar 5, 08:00 pm",146456,8.83,1.77514,-4.51
"Mar 5, 09:00 pm",167959,9.37,3.03814,-4.38
"Mar 5, 10:00 pm",179982,9.61,3.30128,-4.92
"Mar 5, 11:00 pm",118793,8.21,3.05489,-5.18
"Mar 6, 12:00 am",140220,8.72,3.24792,-5.62
"Mar 6, 01:00 am",126138,8.38,2.85642,-6.07
"Mar 6, 02:00 am",135832,8.61,3.42874,-6.44
"Mar 6, 03:00 am",117677,8.18,3.40431,-6.65
"Mar 6, 04:00 am",80408.4,7.26,4.09168,-6.77
"Mar 6, 05:00 am",61685.5,6.75,4.37016,-6.82
"Mar 6, 06:00 am",61186.8,6.73,4.10228,-6.8
"Mar 6, 07:00 am",32698.7,5.8,5.3214,-6.61
"Mar 6, 08:00 am",28837.2,5.63,2.26223,-6.09
"Mar 6, 09:00 am",15474.4,4.75,2.4164,-5.26
"Mar 6, 10:00 am",11277.7,4.34,1.52862,-4.2
"Mar 6, 11:00 am",3417.8,3.8,14.9133,-3.24
"Mar 6, 12:00 pm",0,3.15,0,-2.24
"Mar 6, 01:00 pm",0,2.88,0,-1.34
"Mar 6, 02:00 pm",0,2.61,0,-0.64
"Mar 6, 03:00 pm",0,2.24,0,-0.17
"Mar 6, 04:00 pm",0,2.59,0,-0.21
"Mar 6, 05:00 pm",0,3.27,0,-0.17
"Mar 6, 06:00 pm",0,3.49,0,-0.26
"Mar 6, 07:00 pm",19776.4,5.14,2.7867,-0.39
"Mar 6, 08:00 pm",26902.5,5.55,1.77073,-0.22
"Mar 6, 09:00 pm",24229.3,5.4,2.29919,-0.17
"Mar 6, 10:00 pm",37201.2,6,3.67891,-0.25
"Mar 6, 11:00 pm",28803.1,5.68,2.18684,-0.49
"Mar 7, 12:00 am",34705.8,5.91,3.53202,-0.32
"Mar 7, 01:00 am",34582.6,5.97,8.24465,-0.17
"Mar 7, 02:00 am",42888.4,6.26,6.34464,0.03
"Mar 7, 03:00 am",54695,6.64,5.79135,0.02
"Mar 7, 04:00 am",64710.1,6.89,2.99993,0.01
"Mar 7, 05:00 am",64736.4,6.88,2.45433,-0.04
"Mar 7, 06:00 am",70743.4,7.05,2.71265,-0.18
"Mar 7, 07:00 am",71585.2,7.07,2.50084,-0.07
"Mar 7, 08:00 am",37821.2,6.02,2.50499,0.77
"Mar 7, 09:00 am",22352.4,5.32,2.19635,2.77
"Mar 7, 10:00 am",28495.7,5.69,1.68932,4.3
"Mar 7, 11:00 am",45639,6.34,2.40097,5.64
"Mar 7, 12:00 pm",55313.8,6.66,2.46198,6.64
"Mar 7, 01:00 pm",58735.9,6.77,2.49574,7.41
"Mar 7, 02:00 pm",69951.1,7.1,2.49562,7.82
"Mar 7, 03:00 pm",60355.7,6.82,2.33626,7.86
"Mar 7, 04:00 pm",76242.3,7.26,2.30376,7.5
"Mar 7, 05:00 pm",120974,8.39,1.7036,7.55
"Mar 7, 06:00 pm",141241,8.87,1.81581,7.08
"Mar 7, 07:00 pm",134540,8.73,2.55124,6.86
"Mar 7, 08:00 pm",172321,9.6,2.09917,7.2
"Mar 7, 09:00 pm",141526,8.88,1.83418,7.44
"Mar 7, 10:00 pm",124432,8.47,1.7084,6.55
"Mar 7, 11:00 pm",67329,6.99,2.19545,3.78
"Mar 8, 12:00 am",19477.6,5.15,1.98186,5.23
"Mar 8, 01:00 am",10228.1,4.21,0.76133,4.66
"Mar 8, 02:00 am",23253.1,5.44,6.84649,3.45
"Mar 8, 03:00 am",55720.9,6.7,6.23481,2.07
"Mar 8, 04:00 am",113391,8.14,1.98509,1.36
"Mar 8, 05:00 am",157790,9.17,1.91566,0.08
"Mar 8, 06:00 am",138515,8.7,1.76811,-1.34
"Mar 8, 07:00 am",155058,9.07,1.69111,-2.28
"Mar 8, 08:00 am",177703,9.56,1.80401,-2.83
"Mar 8, 09:00 am",118058,8.2,1.87258,-2.56
"Mar 8, 10:00 am",98908.3,7.71,1.98955,-1.59
"Mar 8, 11:00 am",70728.4,7.03,2.38392,-0.72
"Mar 8, 12:00 pm",31951.8,5.8,2.88889,-0.6
"Mar 8, 01:00 pm",44763.7,6.26,3.00582,-0.68
"Mar 8, 02:00 pm",54318,6.62,5.85375,-0.04
"Mar 8, 03:00 pm",37877.2,6.03,4.2048,-0.13
"Mar 8, 04:00 pm",58813.3,6.71,3.66255,-0.67
"Mar 8, 05:00 pm",79713.8,7.32,4.9999,-1.17
"Mar 8, 06:00 pm",70019,7,2.73683,-2.03
"Mar 8, 07:00 pm",34232.3,5.86,3.07767,-2.62
"Mar 8, 08:00 pm",30352.2,5.73,3.61778,-2.97
"Mar 8, 09:00 pm",17067.8,4.9,2.06521,-3.23
"Mar 8, 10:00 pm",2458.41,3.77,12.1983,-3.31
"Mar 8, 11:00 pm",0,2.51,0,-3.28
"Mar 9, 12:00 am",0,1.88,0,-3.13
"Mar 9, 01:00 am",0,2.01,0,-3.15
"Mar 9, 02:00 am",0,1.16,0,-3.1
"Mar 9, 03:00 am",0,1.36,0,-2.95
"Mar 9, 04:00 am",0,2.32,0,-2.86
"Mar 9, 05:00 am",0,2.89,0,-2.66
"Mar 9, 06:00 am",5449.31,3.87,17.8554,-2.45
"Mar 9, 07:00 am",13811.6,4.63,2.94795,-2.22
"Mar 9, 08:00 am",16456.7,4.87,2.93969,-1.56
"Mar 9, 09:00 am",27685.1,5.61,2.79709,-0.69
"Mar 9, 10:00 am",42072.9,6.17,3.05834,0.25
"Mar 9, 11:00 am",68800.8,7.01,3.27138,1.2
"Mar 9, 12:00 pm",101592,7.84,2.35432,2.09
"Mar 9, 01:00 pm",133151,8.65,2.80229,2.87
"Mar 9, 02:00 pm",149887,9.05,2.52039,3.58
"Mar 9, 03:00 pm",182301,9.76,2.29514,4.06
"Mar 9, 04:00 pm",229296,10.85,1.42246,4.41
"Mar 9, 05:00 pm",215251,10.51,1.30749,4.42
"Mar 9, 06:00 pm",283099,12.24,0.831142,4.46
"Mar 9, 07:00 pm",312331,13.41,0.503992,4.48
"Mar 9, 08:00 pm",325567,14.61,0.191813,4.74
"Mar 9, 09:00 pm",322622,14.17,0.181804,5
"Mar 9, 10:00 pm",329227,15.2,0.231355,5.48
"Mar 9, 11:00 pm",330006,15.34,0.190316,6.03
"Mar 10, 12:00 am",323002,14.29,0.240986,6.34
"Mar 10, 01:00 am",322592,14.21,0.173365,7.06
"Mar 10, 02:00 am",325152,14.59,0.146628,7.33
"Mar 10, 03:00 am",324411,14.48,0.137088,7.58
"Mar 10, 04:00 am",321019,14.05,0.274187,7.71
"Mar 10, 05:00 am",307058,13.21,0.433856,7.53
"Mar 10, 06:00 am",305665,13.14,0.435109,7.52
"Mar 10, 07:00 am",303550,13.04,0.44539,7.7
"Mar 10, 08:00 am",291105,12.61,0.703283,8.58
"Mar 10, 09:00 am",247551,11.39,1.28557,9.9
"Mar 10, 10:00 am",211676,10.54,1.42334,11.01
"Mar 10, 11:00 am",186334,9.95,1.42105,12.22
"Mar 10, 12:00 pm",158203,9.35,1.709,13.37
"Mar 10, 01:00 pm",134392,8.81,2.00467,14.41
"Mar 10, 02:00 pm",127790,8.67,2.05219,15.11
"Mar 10, 03:00 pm",123889,8.58,2.11747,15.43
"Mar 10, 04:00 pm",91817.5,7.78,4.02723,15.38
"Mar 10, 05:00 pm",67156.2,7.14,4.44622,15.05
"Mar 10, 06:00 pm",58196.2,6.87,4.69684,14.64
"Mar 10, 07:00 pm",54083.7,6.74,4.7892,14.09
